Temperature,Humidity,Rainfall,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Crop_Type,Land_Area,Recommended_Crop,Recommended_Fertilizer,Recommended_N,Recommended_P,Recommended_K,Overuse_Label
35.0,80.19,1500.0,Loamy,6.5,90.0,50.0,40.0,Rice,25.18,Rice,50:26:26 NPK,80,40,40,Normal
27.71,92.91,22.06,Sandy,6.19,111.0,15.0,54.0,Muskmelon,39.41,Muskmelon,14-35-14,80,40,80,Slight_Overuse
30.0,62.18,800.0,Loamy,6.5,30.0,40.0,25.0,Groundnut,49.6,Groundnut,SSP,25,50,75,Normal
29.35,84.06,112.97,Loamy,5.78,104.4,77.6,49.9,Banana,25.44,Banana,20-20,200,60,200,Slight_Overuse
35.0,76.04,1000.0,Loamy,7.0,115.0,50.0,60.0,Cotton,29.95,Cotton,DAP,120,60,60,Normal
30.0,60.0,1200.0,Loamy,8.5,120.0,80.0,65.0,Sugarcane,5.15,Sugarcane,MOP,250,60,120,Slight_Overuse
35.0,62.18,600.0,Loamy,7.5,40.0,30.0,30.0,Moong,45.31,Moong,MOP,20,50,30,Slight_Overuse
28.58,80.96,73.34,Sandy,5.84,4.0,134.0,200.0,Grapes,24.63,Grapes,MOP,60,60,80,High_Overuse
24.89,65.61,87.93,Loamy,6.63,60.0,46.0,22.0,Maize,47.26,Maize,17-17-17,120,60,40,Normal
36.17,75.83,400.0,Loamy,5.52,100.4,52.2,53.4,Rice,22.64,Rice,Urea,80,40,40,High_Overuse
25.0,58.93,700.0,Loamy,7.0,60.0,55.0,45.0,Wheat,16.45,Wheat,Urea,120,60,40,Normal
20.0,60.0,900.0,Loamy,6.0,145.0,90.0,145.0,Sugarcane,28.64,Sugarcane,Urea,250,60,120,Slight_Overuse
20.0,81.62,700.0,Loamy,7.0,100.0,55.0,125.0,Grapes,30.17,Grapes,Ferrous Sulphate,60,60,80,High_Overuse
21.65,54.84,286.52,Loamy,6.4,45.2,30.2,13.7,Soybean,19.72,Soybean,Urea,20,60,40,Slight_Overuse
39.69,41.16,150.03,Loamy,6.77,120.8,65.6,30.0,Soybean,53.74,Soybean,DAP,20,60,40,Slight_Overuse
33.56,79.26,400.0,Loamy,7.06,105.9,46.1,54.5,Rice,16.0,Rice,Urea,80,40,40,High_Overuse
25.0,58.93,700.0,Loamy,6.0,105.0,60.0,60.0,Wheat,2.64,Wheat,19:19:19 NPK,120,60,40,Slight_Overuse
15.0,58.93,500.0,Loamy,6.0,65.0,60.0,60.0,Wheat,6.1,Wheat,19:19:19 NPK,120,60,40,Slight_Overuse
23.74,74.69,196.41,Loamy,6.42,91.5,43.6,39.3,Jute,21.08,Jute,Urea,60,30,30,High_Overuse
18.59,14.78,89.61,Sandy,7.17,40.0,58.0,75.0,Chickpea,31.77,Chickpea,DAP,20,60,40,High_Overuse
35.39,61.07,400.0,Loamy,6.45,121.4,70.9,136.3,Sugarcane,26.05,Sugarcane,MOP,250,60,120,Normal
24.48,36.59,102.93,Sandy,5.84,28.0,45.0,159.0,Cotton,38.68,Cotton,14-35-14,120,60,60,Slight_Overuse
21.35,18.02,132.26,Clay,5.77,8.6,54.9,15.1,Kidneybeans,22.38,Kidneybeans,DAP,25,60,30,Normal
20.0,58.93,700.0,Loamy,6.5,115.0,50.0,45.0,Wheat,35.19,Wheat,Urea,120,60,40,Normal
18.31,57.83,400.0,Loamy,7.53,81.3,61.3,106.2,Sugarcane,10.78,Sugarcane,MOP,250,60,120,Normal
25.81,61.64,400.0,Loamy,7.1,81.6,47.3,42.1,Jowar,18.22,Jowar,Urea,80,40,40,Normal
25.0,76.04,800.0,Loamy,6.0,125.0,40.0,50.0,Cotton,14.65,Cotton,DAP,120,60,60,Normal
29.37,91.59,115.53,Sandy,6.01,27.0,26.0,14.6,Orange,24.02,Orange,MOP,60,40,60,Normal
30.0,76.04,900.0,Loamy,6.0,105.0,50.0,70.0,Cotton,9.69,Cotton,DAP,120,60,60,Normal
30.0,62.18,700.0,Loamy,6.5,35.0,50.0,25.0,Tur,33.42,Tur,MOP,20,50,30,Slight_Overuse
25.76,81.84,196.8,Loamy,5.91,97.6,40.6,40.0,Jute,12.66,Jute,Urea,60,30,30,High_Overuse
25.0,62.18,900.0,Loamy,6.5,20.0,35.0,20.0,Urad,25.12,Urad,DAP,20,50,30,Normal
30.0,62.18,900.0,Loamy,5.5,60.0,45.0,70.0,Ginger,4.38,Ginger,Ammonium Sulphate,75,50,100,Normal
23.38,58.25,400.0,Loamy,7.38,152.3,68.4,134.5,Sugarcane,29.74,Sugarcane,MOP,250,60,120,Normal
24.47,53.23,165.43,Clay,7.14,110.7,26.7,19.9,Coffee,46.22,Coffee,DAP,60,30,60,Slight_Overuse
30.0,62.18,1000.0,Loamy,5.5,55.0,60.0,40.0,Turmeric,40.2,Turmeric,Ferrous Sulphate,120,60,120,Normal
24.57,62.31,400.0,Loamy,7.78,29.6,33.6,33.9,Jowar,18.5,Jowar,10:26:26 NPK,80,40,40,Normal
29.04,76.34,400.0,Loamy,5.96,87.0,44.1,58.3,Rice,15.35,Rice,50:26:26 NPK,80,40,40,Slight_Overuse
23.95,51.13,279.79,Sandy,8.01,22.7,91.8,169.4,Cotton,15.26,Cotton,14-35-14,120,60,60,High_Overuse
18.4,93.29,111.28,Sandy,6.02,6.0,18.2,42.1,Pomegranate,0.5,Pomegranate,13:32:26 NPK,50,50,100,Normal
15.0,58.93,500.0,Loamy,7.0,70.0,45.0,50.0,Wheat,3.77,Wheat,Urea,120,60,40,Normal
25.0,76.04,800.0,Loamy,7.5,140.0,60.0,65.0,Cotton,19.87,Cotton,Magnesium Sulphate,120,60,60,Normal
29.55,63.93,39.32,Loamy,7.67,35.9,75.3,18.9,Lentil,23.36,Lentil,DAP,20,60,40,High_Overuse
22.6,62.48,400.0,Loamy,7.27,53.6,25.2,32.3,Jowar,49.83,Jowar,Urea,80,40,40,Normal
22.46,94.76,114.84,Loamy,5.61,33.0,121.0,203.0,Apple,34.77,Apple,MOP,60,40,60,High_Overuse
25.0,58.93,700.0,Loamy,7.0,65.0,55.0,55.0,Wheat,49.24,Wheat,19:19:19 NPK,120,60,40,Slight_Overuse
17.34,93.05,112.72,Sandy,7.19,36.0,11.0,13.0,Orange,36.02,Orange,MOP,60,40,60,Normal
20.0,58.93,900.0,Loamy,6.5,110.0,45.0,40.0,Wheat,34.19,Wheat,19:19:19 NPK,120,60,40,Normal
28.84,99.64,224.4,Sandy,6.22,15.0,28.0,32.0,Coconut,31.3,Coconut,MOP,100,40,200,Normal
29.78,81.35,267.34,Loamy,6.58,126.4,115.7,144.1,Sugarcane,34.11,Sugarcane,20-20,250,60,120,Slight_Overuse
18.92,63.77,400.0,Loamy,7.19,112.9,81.8,120.1,Sugarcane,24.98,Sugarcane,DAP,250,60,120,Slight_Overuse
25.01,95.59,165.81,Sandy,6.0,30.0,30.0,35.0,Coconut,9.91,Coconut,MOP,100,40,200,Normal
35.4,77.54,400.0,Loamy,6.68,116.5,63.7,40.9,Rice,16.99,Rice,Urea,80,40,40,High_Overuse
31.34,89.39,55.93,Loamy,7.57,20.6,39.6,12.9,Mungbean,8.73,Mungbean,DAP,25,50,30,Normal
29.15,89.86,186.42,Sandy,6.12,21.4,26.6,35.5,Coconut,38.31,Coconut,MOP,100,40,200,Normal
23.65,94.51,115.36,Loamy,6.5,36.0,144.0,196.0,Apple,19.54,Apple,MOP,60,40,60,High_Overuse
25.0,81.62,700.0,Loamy,7.0,85.0,40.0,130.0,Grapes,7.88,Grapes,Hydrated Lime,60,60,80,High_Overuse
18.57,44.87,269.28,Loamy,7.27,121.0,29.0,62.0,Sugarcane,36.24,Sugarcane,20-20,250,60,120,Normal
25.0,80.19,1000.0,Loamy,7.0,95.0,45.0,50.0,Rice,36.61,Rice,50:26:26 NPK,80,40,40,Normal
25.0,80.19,1000.0,Loamy,7.0,105.0,45.0,50.0,Rice,41.64,Rice,50:26:26 NPK,80,40,40,Slight_Overuse
35.27,34.39,135.32,Sandy,8.3,0.4,12.7,140.0,Cotton,18.67,Cotton,14-35-14,120,60,60,Slight_Overuse
25.0,62.18,1000.0,Loamy,6.0,60.0,45.0,65.0,Ginger,9.59,Ginger,Urea,75,50,100,Normal
40.0,80.19,900.0,Loamy,6.5,115.0,60.0,50.0,Rice,33.98,Rice,50:26:26 NPK,80,40,40,High_Overuse
20.0,60.0,900.0,Loamy,6.0,125.0,65.0,150.0,Sugarcane,8.22,Sugarcane,MOP,250,60,120,Normal
30.0,81.62,700.0,Loamy,7.0,95.0,50.0,130.0,Grapes,4.28,Grapes,Ferrous Sulphate,60,60,80,High_Overuse
25.84,56.94,400.0,Loamy,6.91,100.2,53.6,44.1,Wheat,5.86,Wheat,19:19:19 NPK,120,60,40,Normal
25.0,60.0,1000.0,Loamy,7.0,120.0,75.0,145.0,Sugarcane,5.38,Sugarcane,MOP,250,60,120,Normal
25.44,52.13,171.41,Loamy,8.55,17.0,86.0,140.0,Maize,19.46,Maize,17-17-17,120,60,40,High_Overuse
20.4,60.5,400.0,Loamy,6.48,133.5,63.8,81.1,Sugarcane,14.06,Sugarcane,DAP,250,60,120,Normal
30.0,58.79,400.0,Loamy,6.11,17.3,41.1,35.6,Groundnut,46.26,Groundnut,Chilated Micronutrient,25,50,75,Normal
16.4,37.95,188.38,Loamy,6.42,94.6,72.7,77.4,Maize,25.8,Maize,17-17-17,120,60,40,Slight_Overuse
28.56,84.52,111.08,Loamy,5.65,94.0,89.0,48.0,Banana,22.65,Banana,20-20,200,60,200,Slight_Overuse
10.78,77.83,400.0,Loamy,7.54,93.4,64.1,59.4,Cotton,24.79,Cotton,Magnesium Sulphate,120,60,60,Normal
29.02,90.2,126.81,Sandy,6.62,48.0,57.0,54.0,Papaya,43.89,Papaya,20-20,120,60,120,Normal
30.0,60.0,700.0,Loamy,6.5,140.0,80.0,85.0,Sugarcane,34.17,Sugarcane,MOP,250,60,120,Slight_Overuse
28.5,72.61,173.0,Clay,6.89,110.9,34.2,28.0,Coffee,42.49,Coffee,DAP,60,30,60,Slight_Overuse
28.99,62.86,70.47,Sandy,8.18,12.0,39.0,21.0,Mothbeans,25.98,Mothbeans,DAP,20,40,20,Normal
19.04,80.16,400.0,Loamy,6.96,93.6,46.3,124.2,Grapes,34.92,Grapes,10:10:10 NPK,60,60,80,High_Overuse
20.0,60.0,900.0,Loamy,6.0,135.0,75.0,150.0,Sugarcane,6.46,Sugarcane,Urea,250,60,120,Normal
30.0,62.18,900.0,Loamy,6.5,65.0,45.0,45.0,Jowar,14.8,Jowar,10:26:26 NPK,80,40,40,Normal
25.76,64.1,400.0,Loamy,5.93,60.3,51.9,60.8,Jowar,1.84,Jowar,Urea,80,40,40,High_Overuse
30.0,60.0,900.0,Loamy,6.0,140.0,60.0,150.0,Sugarcane,48.89,Sugarcane,Urea,250,60,120,Normal
30.0,76.04,500.0,Loamy,8.0,115.0,80.0,80.0,Cotton,28.96,Cotton,Magnesium Sulphate,120,60,60,High_Overuse
27.29,58.0,400.0,Loamy,5.8,85.1,59.5,50.2,Wheat,11.07,Wheat,Urea,120,60,40,Slight_Overuse
25.47,60.34,400.0,Loamy,7.0,150.0,69.6,81.3,Sugarcane,21.66,Sugarcane,MOP,250,60,120,Normal
25.0,80.19,1000.0,Loamy,7.0,80.0,55.0,45.0,Rice,21.14,Rice,50:26:26 NPK,80,40,40,Slight_Overuse
32.88,95.77,186.7,Sandy,7.03,35.0,62.4,56.7,Papaya,48.36,Papaya,20-20,120,60,120,Normal
27.69,77.43,114.43,Loamy,6.24,120.6,87.8,48.1,Banana,22.8,Banana,20-20,200,60,200,Slight_Overuse
23.11,94.32,231.52,Sandy,6.76,42.0,53.0,48.0,Papaya,26.41,Papaya,20-20,120,60,120,Normal
20.0,58.93,800.0,Loamy,7.0,120.0,60.0,45.0,Wheat,20.5,Wheat,19:19:19 NPK,120,60,40,Normal
35.0,80.19,1200.0,Loamy,7.0,105.0,60.0,45.0,Rice,24.62,Rice,Urea,80,40,40,High_Overuse
15.0,58.93,900.0,Loamy,6.5,105.0,60.0,40.0,Wheat,43.83,Wheat,Urea,120,60,40,Normal
39.5,25.17,215.43,Sandy,8.68,62.9,46.1,17.6,Cotton,17.9,Cotton,14-35-14,120,60,60,Normal
25.76,82.17,266.99,Loamy,7.41,14.0,97.0,120.0,Soybean,18.76,Soybean,DAP,20,60,40,High_Overuse
30.0,60.0,1200.0,Loamy,7.5,130.0,70.0,70.0,Sugarcane,23.53,Sugarcane,Urea,250,60,120,Normal
21.48,80.75,56.51,Sandy,5.82,29.7,123.3,191.3,Grapes,21.01,Grapes,MOP,60,60,80,High_Overuse
25.0,58.93,800.0,Loamy,7.0,110.0,50.0,50.0,Wheat,10.62,Wheat,19:19:19 NPK,120,60,40,Normal
24.24,56.83,400.0,Loamy,6.56,124.6,51.7,34.8,Wheat,35.29,Wheat,19:19:19 NPK,120,60,40,Normal
22.89,51.43,236.88,Loamy,7.64,37.0,60.0,168.0,Soybean,15.75,Soybean,DAP,20,60,40,High_Overuse
23.33,60.67,68.24,Loamy,5.45,71.8,52.4,20.4,Maize,32.82,Maize,17-17-17,120,60,40,Normal
28.0,61.29,400.0,Loamy,6.39,94.1,39.6,46.7,Wheat,11.81,Wheat,Urea,120,60,40,Normal
25.0,58.93,800.0,Loamy,7.0,110.0,55.0,45.0,Wheat,23.0,Wheat,Urea,120,60,40,Normal
25.86,54.06,400.0,Clay,6.75,39.9,0.0,2.3,Millets,45.46,Millets,Urea,60,30,30,Normal
20.51,46.33,157.82,Clay,5.18,117.5,86.6,118.8,Rice,25.99,Rice,Urea,80,40,40,High_Overuse
23.61,79.3,72.5,Sandy,7.72,121.0,47.0,16.0,Cotton,13.64,Cotton,14-35-14,120,60,60,Normal
35.22,75.73,400.0,Loamy,7.44,101.9,75.2,69.2,Cotton,8.23,Cotton,DAP,120,60,60,Slight_Overuse
30.0,60.0,1400.0,Loamy,7.0,135.0,70.0,125.0,Sugarcane,3.39,Sugarcane,Urea,250,60,120,Normal
30.0,65.28,400.0,Loamy,7.14,27.5,48.5,17.4,Groundnut,3.89,Groundnut,SSP,25,50,75,Normal
23.61,21.91,100.6,Clay,5.53,30.0,63.0,16.0,Kidneybeans,25.04,Kidneybeans,DAP,25,60,30,Normal
15.0,76.04,600.0,Loamy,8.5,120.0,65.0,75.0,Cotton,22.99,Cotton,12:32:16 NPK,120,60,60,Normal
25.0,58.93,500.0,Loamy,7.0,80.0,45.0,50.0,Wheat,4.31,Wheat,Urea,120,60,40,Normal
24.45,81.82,400.0,Loamy,7.05,87.8,48.2,47.1,Rice,0.5,Rice,50:26:26 NPK,80,40,40,Normal
29.47,59.53,22.51,Sandy,9.0,41.5,39.3,26.7,Mothbeans,14.84,Mothbeans,DAP,20,40,20,High_Overuse
30.0,62.18,700.0,Loamy,6.5,30.0,15.0,5.0,Moong,2.8,Moong,SSP,20,50,30,Slight_Overuse
29.64,65.45,165.69,Sandy,5.44,37.2,76.3,22.9,Pigeonpeas,25.73,Pigeonpeas,DAP,20,60,40,High_Overuse
25.0,62.18,500.0,Loamy,6.0,145.0,65.0,60.0,Maize,11.33,Maize,MOP,120,60,40,Slight_Overuse
25.0,81.62,700.0,Loamy,6.0,80.0,60.0,140.0,Grapes,4.63,Grapes,Ferrous Sulphate,60,60,80,High_Overuse
20.0,58.93,900.0,Loamy,7.0,75.0,60.0,45.0,Wheat,34.92,Wheat,Urea,120,60,40,Normal
20.0,60.0,900.0,Loamy,6.5,140.0,85.0,135.0,Sugarcane,49.08,Sugarcane,MOP,250,60,120,Slight_Overuse
20.0,60.0,900.0,Loamy,6.5,125.0,60.0,140.0,Sugarcane,38.74,Sugarcane,DAP,250,60,120,Normal
24.17,83.73,257.03,Clay,5.58,63.0,44.0,41.0,Rice,12.99,Rice,Urea,80,40,40,Normal
35.56,75.88,400.0,Loamy,7.11,112.7,28.9,58.6,Cotton,31.88,Cotton,Magnesium Sulphate,120,60,60,Normal
24.92,66.79,109.22,Loamy,5.75,67.0,60.0,25.0,Maize,11.37,Maize,17-17-17,120,60,40,Normal
29.13,82.46,120.95,Loamy,6.12,96.9,78.9,49.3,Banana,4.18,Banana,20-20,200,60,200,Slight_Overuse
20.61,87.6,179.32,Loamy,5.25,122.0,39.0,99.0,Barley,12.96,Barley,Urea,60,40,20,High_Overuse
30.0,80.19,1400.0,Loamy,7.0,90.0,50.0,45.0,Rice,4.26,Rice,Urea,80,40,40,Normal
20.26,59.32,400.0,Loamy,7.47,88.0,57.7,99.5,Sugarcane,41.96,Sugarcane,MOP,250,60,120,Normal
30.0,76.04,900.0,Loamy,7.5,115.0,55.0,55.0,Cotton,2.49,Cotton,13:32:26 NPK,120,60,60,Normal
33.88,69.09,400.0,Clay,6.13,19.0,11.0,0.2,Oil seeds,38.91,Oil seeds,20-20,40,60,60,Normal
15.44,18.37,139.03,Clay,5.61,1.0,62.0,23.0,Kidneybeans,11.8,Kidneybeans,DAP,25,60,30,Normal
34.36,66.13,400.0,Sandy,6.34,0.4,35.6,0.0,Tobacco,8.95,Tobacco,DAP,80,60,120,Normal
26.34,76.85,118.69,Loamy,6.19,114.0,94.0,53.0,Banana,37.7,Banana,20-20,200,60,200,Slight_Overuse
30.0,62.18,600.0,Loamy,6.5,25.0,25.0,40.0,Jowar,44.47,Jowar,10:26:26 NPK,80,40,40,Normal
34.18,74.95,207.74,Clay,7.04,8.4,95.0,3.4,Rice,2.15,Rice,Urea,80,40,40,Slight_Overuse
35.0,80.19,1200.0,Loamy,6.0,95.0,55.0,60.0,Rice,45.24,Rice,50:26:26 NPK,80,40,40,High_Overuse
11.5,94.89,115.57,Sandy,6.95,11.0,14.0,5.0,Orange,29.86,Orange,MOP,60,40,60,Normal
24.82,64.87,142.3,Clay,7.64,79.6,31.8,25.2,Coffee,49.4,Coffee,DAP,60,30,60,Slight_Overuse
27.61,86.13,43.8,Loamy,7.01,4.0,36.0,22.0,Mungbean,30.32,Mungbean,DAP,25,50,30,Normal
24.86,60.85,400.0,Loamy,6.21,29.8,60.5,39.2,Groundnut,24.51,Groundnut,Chilated Micronutrient,25,50,75,Normal
24.6,82.2,72.49,Sandy,6.19,3.0,138.2,197.4,Grapes,3.3,Grapes,MOP,60,60,80,High_Overuse
22.0,79.47,90.42,Sandy,7.39,113.0,38.0,25.0,Cotton,5.39,Cotton,14-35-14,120,60,60,Normal
37.33,60.16,400.0,Loamy,7.02,131.6,69.3,145.6,Sugarcane,29.91,Sugarcane,Urea,250,60,120,Normal
15.0,58.93,800.0,Loamy,7.5,100.0,60.0,50.0,Wheat,38.59,Wheat,Urea,120,60,40,Normal
25.0,58.93,1000.0,Loamy,7.5,100.0,55.0,50.0,Wheat,29.57,Wheat,Urea,120,60,40,Normal
26.23,81.44,400.0,Loamy,6.37,22.3,22.2,26.5,Rice,11.45,Rice,Urea,80,40,40,Normal
19.13,64.03,77.48,Loamy,6.03,75.4,48.2,10.9,Maize,14.41,Maize,17-17-17,120,60,40,Normal
25.0,62.18,400.0,Loamy,6.5,70.0,30.0,20.0,Urad,13.3,Urad,Urea,20,50,30,Slight_Overuse
30.0,58.93,600.0,Loamy,7.5,80.0,50.0,55.0,Wheat,32.89,Wheat,Urea,120,60,40,Slight_Overuse
19.19,59.49,139.41,Loamy,7.01,122.9,43.2,79.5,Barley,15.43,Barley,Urea,60,40,20,High_Overuse
25.0,58.93,700.0,Loamy,7.0,115.0,80.0,45.0,Wheat,20.23,Wheat,19:19:19 NPK,120,60,40,Slight_Overuse
19.31,23.96,129.34,Clay,5.59,9.0,69.0,20.0,Kidneybeans,38.82,Kidneybeans,DAP,25,60,30,Normal
29.27,75.5,400.0,Loamy,6.61,100.5,60.8,40.3,Cotton,9.78,Cotton,DAP,120,60,60,Normal
28.13,93.32,117.82,Sandy,6.5,34.0,61.0,49.0,Papaya,39.68,Papaya,20-20,120,60,120,Normal
24.87,65.2,400.0,Loamy,6.11,30.2,43.7,35.9,Groundnut,34.05,Groundnut,Chilated Micronutrient,25,50,75,Normal
28.17,81.05,36.36,Loamy,6.83,10.0,56.0,16.0,Mungbean,9.37,Mungbean,DAP,25,50,30,Normal
18.81,60.04,400.0,Loamy,6.55,128.5,60.3,116.6,Sugarcane,27.95,Sugarcane,MOP,250,60,120,Normal
30.0,62.18,900.0,Loamy,6.5,60.0,50.0,70.0,Ginger,22.39,Ginger,Urea,75,50,100,Normal
25.19,80.44,82.27,Sandy,8.05,148.4,51.3,18.4,Cotton,0.92,Cotton,14-35-14,120,60,60,Normal
20.0,62.18,600.0,Loamy,6.0,40.0,20.0,20.0,Masoor,23.16,Masoor,Urea,20,60,40,Slight_Overuse
20.57,19.75,87.88,Clay,5.71,8.0,72.0,17.0,Kidneybeans,26.35,Kidneybeans,DAP,25,60,30,Normal
15.0,58.93,900.0,Loamy,7.5,120.0,60.0,45.0,Wheat,36.72,Wheat,19:19:19 NPK,120,60,40,Normal
20.1,77.37,400.0,Loamy,7.14,104.3,56.1,122.8,Grapes,8.81,Grapes,Ferrous Sulphate,60,60,80,High_Overuse
23.56,58.42,400.0,Loamy,5.85,116.4,36.1,60.8,Wheat,42.23,Wheat,Urea,120,60,40,Slight_Overuse
20.0,58.93,900.0,Loamy,7.0,95.0,60.0,45.0,Wheat,11.84,Wheat,Urea,120,60,40,Normal
24.5,90.34,174.05,Sandy,5.82,3.6,18.7,32.2,Coconut,1.43,Coconut,MOP,100,40,200,Normal
25.22,70.88,195.86,Loamy,7.3,67.0,43.0,38.0,Jute,26.57,Jute,Urea,60,30,30,High_Overuse
30.0,62.18,800.0,Loamy,6.5,35.0,35.0,30.0,Urad,35.33,Urad,SSP,20,50,30,Slight_Overuse
22.86,73.18,400.0,Loamy,8.25,121.4,73.5,64.1,Cotton,0.5,Cotton,DAP,120,60,60,Normal
24.85,63.9,400.0,Loamy,6.2,24.1,61.8,39.6,Groundnut,21.68,Groundnut,Chilated Micronutrient,25,50,75,Normal
31.15,81.03,400.0,Loamy,6.14,20.0,16.2,27.5,Rice,0.5,Rice,Urea,80,40,40,Normal
31.43,83.74,207.09,Loamy,7.74,11.0,5.0,72.0,Sugarcane,44.11,Sugarcane,20-20,250,60,120,Normal
18.58,57.64,400.0,Loamy,5.34,59.6,48.5,83.6,Ginger,49.26,Ginger,DAP,75,50,100,Normal
36.74,79.21,235.2,Loamy,7.58,82.8,95.8,200.2,Sugarcane,49.01,Sugarcane,20-20,250,60,120,High_Overuse
23.88,56.4,400.0,Loamy,6.88,74.2,37.0,46.3,Wheat,9.15,Wheat,19:19:19 NPK,120,60,40,Normal
30.0,62.18,900.0,Loamy,7.5,75.0,60.0,50.0,Jowar,15.52,Jowar,10:26:26 NPK,80,40,40,Slight_Overuse
29.1,81.54,167.48,Loamy,6.16,54.2,61.8,30.8,Jute,27.47,Jute,Urea,60,30,30,Slight_Overuse
25.0,62.18,800.0,Loamy,6.0,75.0,55.0,60.0,Jowar,11.41,Jowar,Urea,80,40,40,High_Overuse
34.62,63.0,242.28,Loamy,4.7,34.3,55.0,61.1,Sugarcane,26.49,Sugarcane,20-20,250,60,120,Normal
28.29,73.67,400.0,Loamy,7.57,143.6,38.3,56.6,Cotton,6.69,Cotton,Magnesium Sulphate,120,60,60,Normal
22.43,90.34,112.46,Sandy,6.11,5.0,21.0,38.0,Pomegranate,43.64,Pomegranate,13:32:26 NPK,50,50,100,Normal
35.0,62.18,800.0,Loamy,7.0,20.0,20.0,15.0,Moong,16.93,Moong,MOP,20,50,30,Normal
36.15,60.76,400.0,Loamy,6.42,97.0,46.4,119.3,Sugarcane,14.58,Sugarcane,Urea,250,60,120,Normal
24.28,37.04,161.38,Clay,8.82,124.0,62.0,103.0,Rice,10.64,Rice,Urea,80,40,40,High_Overuse
25.0,58.93,700.0,Loamy,7.0,110.0,80.0,45.0,Wheat,43.98,Wheat,19:19:19 NPK,120,60,40,Slight_Overuse
23.8,74.83,91.76,Loamy,6.25,98.0,35.0,18.0,Maize,23.19,Maize,17-17-17,120,60,40,Normal
34.52,49.2,221.18,Loamy,8.59,73.0,61.0,35.0,Maize,48.77,Maize,17-17-17,120,60,40,Normal
40.0,80.19,700.0,Loamy,5.5,105.0,50.0,55.0,Rice,35.16,Rice,50:26:26 NPK,80,40,40,High_Overuse
25.0,62.18,1000.0,Loamy,6.0,55.0,45.0,65.0,Ginger,2.76,Ginger,Urea,75,50,100,Normal
16.8,60.7,400.0,Loamy,6.61,113.9,54.6,43.8,Wheat,26.61,Wheat,19:19:19 NPK,120,60,40,Normal
30.0,60.0,700.0,Loamy,6.82,13.0,9.0,0.0,Wheat,21.9,Wheat,20-20,120,60,40,Normal
22.18,33.2,61.29,Loamy,5.99,102.0,24.0,141.0,Sugarcane,46.79,Sugarcane,20-20,250,60,120,Normal
26.14,79.12,171.49,Loamy,6.07,60.0,58.0,37.0,Jute,37.91,Jute,Urea,60,30,30,Slight_Overuse
